<<<<<<< Updated upstream
<5> <UN993TA> <19/01/2026 00:00:13.481>
<5> <TE551DC> <18/01/2026 23:58:02.726>
<4> <CF742LX> <18/01/2026 23:45:02.579>
<5> <CF742LX> <18/01/2026 23:51:50.962>
<3> <VF684KV> <18/01/2026 23:33:20.197>
<4> <VF684KV> <18/01/2026 23:40:31.335>
<4> <OM007GS> <18/01/2026 23:46:23.723>
<5> <OM007GS> <18/01/2026 23:56:49.810>
<4> <PI140GB> <18/01/2026 23:54:00.562>
<5> <PI140GB> <19/01/2026 00:03:44.141>
<5> <KK812MH> <18/01/2026 23:54:58.954>
<1> <TH533ZP> <18/01/2026 23:19:49.828>
<3> <MV089AS> <18/01/2026 23:38:28.306>
<6> <RX450OL> <19/01/2026 00:01:06.738>
<3> <MU206US> <18/01/2026 23:38:36.461>
<5> <KZ983AW> <19/01/2026 00:01:55.786>
<6> <KZ983AW> <19/01/2026 00:10:05.943>
<6> <KZ345OO> <19/01/2026 00:12:23.664>
<4> <JL696RN> <18/01/2026 23:47:57.234>
<5> <JL696RN> <18/01/2026 23:56:23.496>
<6> <JL696RN> <19/01/2026 00:05:05.125>
<5> <YZ782TE> <19/01/2026 00:03:53.210>
<5> <YR813TY> <18/01/2026 23:52:41.558>
<1> <WG899IG> <18/01/2026 23:18:09.859>
<2> <WG899IG> <18/01/2026 23:25:01.677>
<3> <WG899IG> <18/01/2026 23:34:46.806>
<2> <LN357RX> <18/01/2026 23:28:47.253>
<3> <LN357RX> <18/01/2026 23:35:08.205>
<4> <LN357RX> <18/01/2026 23:47:43.178>
<4> <PE816TS> <18/01/2026 23:53:46.657>
<3> <FD176WH> <18/01/2026 23:33:52.260>
<4> <FD176WH> <18/01/2026 23:46:11.381>
<5> <FD176WH> <18/01/2026 23:57:35.653>
<5> <EU111FP> <18/01/2026 23:58:20.120>
<1> <UW519CH> <18/01/2026 23:18:56.161>
<2> <UW519CH> <18/01/2026 23:27:29.915>
<3> <UW519CH> <18/01/2026 23:35:26.736>
<4> <UW519CH> <18/01/2026 23:43:12.093>
<5> <MA573BC> <19/01/2026 00:03:49.396>
<1> <NV949HS> <18/01/2026 23:18:28.584>
<2> <NV949HS> <18/01/2026 23:25:10.385>
<3> <NV949HS> <18/01/2026 23:32:29.795>
<3> <HW884DS> <18/01/2026 23:46:55.685>
<5> <VS021NA> <18/01/2026 23:46:05.242>
<6> <VS021NA> <18/01/2026 23:52:59.035>
<5> <XN962QH> <19/01/2026 00:09:12.317>
<6> <XN962QH> <19/01/2026 00:21:31.690>
<6> <HV330OG> <19/01/2026 00:01:58.069>
<2> <XW318UP> <18/01/2026 23:34:04.955>
<2> <RW332ZH> <18/01/2026 23:30:31.467>
<3> <RW332ZH> <18/01/2026 23:38:18.800>
<4> <RW332ZH> <18/01/2026 23:44:47.989>
<5> <RW332ZH> <18/01/2026 23:52:38.710>
<4> <VR005HS> <18/01/2026 23:49:09.777>
<5> <VR005HS> <18/01/2026 23:56:45.582>
<4> <PY698UZ> <18/01/2026 23:51:37.994>
<1> <DX648AX> <18/01/2026 23:25:43.495>
<2> <DX648AX> <18/01/2026 23:33:22.094>
<3> <DX648AX> <18/01/2026 23:41:58.873>
<4> <DX648AX> <18/01/2026 23:53:46.005>
<3> <LO810WE> <18/01/2026 23:45:57.139>
<1> <MC077SG> <18/01/2026 23:29:14.107>
<5> <ER402ED> <19/01/2026 00:09:54.563>
<2> <DL068ZD> <18/01/2026 23:32:30.593>
<3> <DL068ZD> <18/01/2026 23:40:18.125>
<4> <DL068ZD> <18/01/2026 23:50:38.932>
<4> <JA382LR> <18/01/2026 23:51:16.521>
<4> <DU021BP> <18/01/2026 23:48:59.808>
<5> <DU021BP> <18/01/2026 23:57:01.208>
<4> <OZ704SG> <19/01/2026 00:00:45.786>
<1> <FG474LH> <18/01/2026 23:21:11.469>
<2> <FG474LH> <18/01/2026 23:28:57.287>
<3> <FG474LH> <18/01/2026 23:39:50.973>
<6> <ST364SD> <19/01/2026 00:15:56.508>
<3> <SH443HD> <18/01/2026 23:37:11.749>
<4> <SH443HD> <18/01/2026 23:43:36.776>
<5> <SH443HD> <18/01/2026 23:52:51.942>
<6> <SH443HD> <19/01/2026 00:00:08.305>
<2> <OU529NA> <18/01/2026 23:32:50.457>
<3> <OU529NA> <18/01/2026 23:39:59.028>
<4> <OU529NA> <18/01/2026 23:49:53.799>
<3> <HU228CH> <18/01/2026 23:46:00.200>
<4> <HU228CH> <18/01/2026 23:56:24.134>
<6> <GV709KP> <19/01/2026 00:18:18.458>
<5> <PT974MB> <18/01/2026 23:56:28.724>
<2> <WK862QO> <18/01/2026 23:30:41.327>
<3> <WK862QO> <18/01/2026 23:39:29.246>
<4> <WK862QO> <18/01/2026 23:50:55.041>
<5> <WK862QO> <18/01/2026 23:59:33.636>
<6> <WK862QO> <19/01/2026 00:06:02.825>
<3> <TY679KK> <18/01/2026 23:44:36.033>
<4> <TY679KK> <18/01/2026 23:54:36.033>
<5> <TY679KK> <19/01/2026 00:03:47.112>
<6> <TY679KK> <19/01/2026 00:12:03.065>
<3> <XM457MB> <18/01/2026 23:45:00.496>
<4> <XM457MB> <18/01/2026 23:52:59.953>
<5> <XM457MB> <19/01/2026 00:00:27.228>
<6> <XM457MB> <19/01/2026 00:08:08.766>
<1> <LI612CS> <18/01/2026 23:26:46.366>
<2> <LI612CS> <18/01/2026 23:38:39.174>
<3> <XU395LV> <18/01/2026 23:39:02.043>
<0> <AA029BO> <18/01/2026 23:15:15.508>
<1> <AA029BO> <18/01/2026 23:24:00.771>
<2> <AA029BO> <18/01/2026 23:36:12.451>
<3> <AA029BO> <18/01/2026 23:45:34.656>
<4> <AA029BO> <18/01/2026 23:53:35.516>
<4> <WG680YW> <18/01/2026 23:48:50.905>
<5> <WG680YW> <18/01/2026 23:56:32.814>
<1> <UN918LW> <18/01/2026 23:25:08.987>
<2> <UN918LW> <18/01/2026 23:31:58.078>
<3> <UN918LW> <18/01/2026 23:39:07.124>
<4> <UN918LW> <18/01/2026 23:46:15.543>
<6> <DJ363PD> <19/01/2026 00:04:48.810>
<6> <KO101JO> <19/01/2026 00:03:21.033>
<4> <VA420UK> <18/01/2026 23:50:08.406>
<5> <VA420UK> <19/01/2026 00:01:52.674>
<6> <VA420UK> <19/01/2026 00:09:25.295>
<6> <PE752ND> <19/01/2026 00:09:42.563>
<6> <NH353CS> <19/01/2026 00:14:45.110>
<2> <DK411XV> <18/01/2026 23:35:18.355>
<3> <DK411XV> <18/01/2026 23:42:16.036>
<4> <DK411XV> <18/01/2026 23:49:29.720>
<5> <DK411XV> <18/01/2026 23:56:57.245>
<2> <HB260MD> <18/01/2026 23:42:19.078>
<3> <HB260MD> <18/01/2026 23:53:48.961>
<4> <HB260MD> <19/01/2026 00:02:50.315>
<5> <HB260MD> <19/01/2026 00:11:44.230>
<5> <FM875AY> <18/01/2026 23:53:34.729>
<1> <YG741GF> <18/01/2026 23:26:52.935>
<2> <YG741GF> <18/01/2026 23:34:26.464>
<3> <YG741GF> <18/01/2026 23:44:01.612>
<4> <YG741GF> <18/01/2026 23:55:29.785>
<6> <KS803CT> <19/01/2026 00:11:11.389>
<2> <SX835SX> <18/01/2026 23:34:53.318>
<3> <SX835SX> <18/01/2026 23:42:21.202>
<4> <SX835SX> <18/01/2026 23:51:01.911>
<6> <XN540ME> <19/01/2026 00:19:09.687>
<6> <IJ466CP> <19/01/2026 00:09:57.872>
<3> <KW921DV> <18/01/2026 23:45:07.607>
<4> <KW921DV> <18/01/2026 23:53:37.338>
<5> <KW921DV> <19/01/2026 00:01:27.926>
<6> <KW921DV> <19/01/2026 00:10:58.681>
<5> <AL832ZP> <19/01/2026 00:10:36.097>
<4> <AK395NM> <18/01/2026 23:47:56.610>
<5> <AK395NM> <18/01/2026 23:56:59.772>
<4> <ZQ969BL> <18/01/2026 23:57:30.576>
<4> <OM326YM> <18/01/2026 23:49:29.335>
<5> <OM326YM> <18/01/2026 23:59:01.955>
<3> <BQ867GN> <18/01/2026 23:49:37.369>
<4> <BQ867GN> <18/01/2026 23:56:59.981>
<5> <BQ867GN> <19/01/2026 00:05:28.247>
<1> <BS636PL> <18/01/2026 23:26:02.884>
<2> <BS636PL> <18/01/2026 23:32:40.674>
<5> <GB777JT> <19/01/2026 00:09:05.746>
<6> <GB777JT> <19/01/2026 00:17:08.967>
<0> <OM388GT> <18/01/2026 23:19:48.204>
<1> <OM388GT> <18/01/2026 23:32:02.739>
<2> <OM388GT> <18/01/2026 23:40:45.068>
<3> <OM388GT> <18/01/2026 23:47:40.434>
<2> <LI244UN> <18/01/2026 23:38:04.588>
<3> <LI244UN> <18/01/2026 23:51:13.002>
<4> <LI244UN> <18/01/2026 23:58:40.207>
<5> <LI244UN> <19/01/2026 00:06:10.469>
<6> <LI244UN> <19/01/2026 00:15:08.776>
<3> <SO274RB> <18/01/2026 23:47:14.683>
<4> <SO274RB> <18/01/2026 23:57:40.770>
<5> <SO274RB> <19/01/2026 00:05:44.248>
<6> <SO274RB> <19/01/2026 00:18:28.248>
<5> <ZC038SI> <19/01/2026 00:07:45.426>
<6> <ZC038SI> <19/01/2026 00:16:38.978>
<3> <EI604YE> <18/01/2026 23:42:13.592>
<4> <EI604YE> <18/01/2026 23:49:44.598>
<3> <CC216OU> <18/01/2026 23:42:15.366>
<2> <XL904KN> <18/01/2026 23:32:42.500>
<3> <XL904KN> <18/01/2026 23:40:55.651>
<4> <XL904KN> <18/01/2026 23:48:09.935>
<4> <WD085SB> <18/01/2026 23:52:16.349>
<5> <WD085SB> <18/01/2026 23:58:35.297>
<5> <GZ292IU> <18/01/2026 23:58:35.708>
<6> <GZ292IU> <19/01/2026 00:12:50.327>
<5> <IT774HJ> <19/01/2026 00:09:12.292>
<6> <IT774HJ> <19/01/2026 00:18:07.903>
<2> <KW950TL> <18/01/2026 23:34:37.324>
<3> <KW950TL> <18/01/2026 23:41:14.456>
<4> <KW950TL> <18/01/2026 23:47:35.408>
<5> <KW950TL> <18/01/2026 23:56:12.757>
<3> <XS210NY> <18/01/2026 23:43:39.612>
<2> <BS316VM> <18/01/2026 23:39:36.769>
<3> <BS316VM> <18/01/2026 23:48:37.975>
<4> <BS316VM> <18/01/2026 23:59:23.049>
<3> <ZZ731AE> <18/01/2026 23:50:32.407>
<6> <CK200OT> <19/01/2026 00:19:45.389>
<1> <OX597VZ> <18/01/2026 23:28:11.178>
<2> <OX597VZ> <18/01/2026 23:35:35.746>
<3> <OX597VZ> <18/01/2026 23:42:34.351>
<4> <OX597VZ> <18/01/2026 23:51:12.710>
<5> <OX597VZ> <19/01/2026 00:00:12.293>
<1> <IY480LT> <18/01/2026 23:28:43.194>
<2> <IY480LT> <18/01/2026 23:35:54.626>
<3> <IY480LT> <18/01/2026 23:43:00.661>
<4> <IY480LT> <18/01/2026 23:51:02.228>
<5> <IY480LT> <18/01/2026 23:59:11.062>
<6> <IY480LT> <19/01/2026 00:07:04.747>
<2> <EC221TE> <18/01/2026 23:34:30.337>
<1> <OF894YL> <18/01/2026 23:30:06.743>
<2> <OF894YL> <18/01/2026 23:41:01.289>
<3> <OF894YL> <18/01/2026 23:49:26.127>
<4> <OF894YL> <19/01/2026 00:03:27.198>
<5> <OF894YL> <19/01/2026 00:17:00.400>
<1> <UV187XK> <18/01/2026 23:30:43.953>
<2> <UV187XK> <18/01/2026 23:37:42.557>
<3> <UV187XK> <18/01/2026 23:45:21.622>
<4> <UV187XK> <18/01/2026 23:53:42.751>
<1> <CN311VF> <18/01/2026 23:31:18.634>
<2> <CN311VF> <18/01/2026 23:38:00.869>
<3> <CN311VF> <18/01/2026 23:44:41.218>
<1> <XB811EG> <18/01/2026 23:30:03.311>
<2> <XB811EG> <18/01/2026 23:39:54.494>
<2> <CA938OX> <18/01/2026 23:37:44.725>
<6> <YP338RY> <19/01/2026 00:07:49.620>
<2> <EN254HA> <18/01/2026 23:37:00.157>
<5> <KH959XL> <19/01/2026 00:07:08.860>
<6> <KH959XL> <19/01/2026 00:15:06.526>
<3> <JP564AT> <18/01/2026 23:50:46.779>
<4> <JP564AT> <18/01/2026 23:59:21.314>
<5> <JP564AT> <19/01/2026 00:07:06.612>
<2> <FR340EN> <18/01/2026 23:38:15.218>
<3> <FR340EN> <18/01/2026 23:45:11.310>
<4> <FR340EN> <18/01/2026 23:51:42.614>
<5> <FR340EN> <19/01/2026 00:00:13.628>
<3> <NC311KG> <18/01/2026 23:52:55.788>
<4> <NC311KG> <19/01/2026 00:01:40.278>
<5> <NC311KG> <19/01/2026 00:12:49.471>
<5> <MZ481MQ> <19/01/2026 00:04:23.552>
<6> <MZ481MQ> <19/01/2026 00:14:44.242>
<3> <SW319KO> <18/01/2026 23:53:05.834>
<1> <FZ312ND> <18/01/2026 23:32:17.775>
<2> <FZ312ND> <18/01/2026 23:40:54.330>
<3> <FZ312ND> <18/01/2026 23:47:33.387>
<4> <FZ312ND> <18/01/2026 23:57:45.863>
<5> <FZ312ND> <19/01/2026 00:07:18.605>
<0> <TU660VV> <18/01/2026 23:22:17.452>
<1> <TU660VV> <18/01/2026 23:29:26.522>
<2> <TU660VV> <18/01/2026 23:40:52.301>
<2> <MU282LL> <18/01/2026 23:36:50.274>
<3> <MU282LL> <18/01/2026 23:43:39.365>
<4> <MU282LL> <18/01/2026 23:51:04.516>
<2> <XT623GS> <18/01/2026 23:38:20.154>
<3> <XT623GS> <18/01/2026 23:46:07.686>
<4> <UO581EW> <19/01/2026 00:06:57.955>
<3> <JG180MY> <18/01/2026 23:47:39.747>
<4> <JG180MY> <18/01/2026 23:57:37.203>
<5> <JG180MY> <19/01/2026 00:05:32.766>
<6> <JG180MY> <19/01/2026 00:16:52.851>
<4> <IY227KZ> <18/01/2026 23:54:58.494>
<3> <RO050WJ> <18/01/2026 23:55:49.965>
<4> <RO050WJ> <19/01/2026 00:03:37.679>
<1> <UV845KU> <18/01/2026 23:32:34.460>
<2> <UV845KU> <18/01/2026 23:41:11.746>
<3> <UV845KU> <18/01/2026 23:50:20.383>
<4> <UV845KU> <19/01/2026 00:01:30.369>
<5> <UV845KU> <19/01/2026 00:08:31.372>
<6> <LG729UB> <19/01/2026 00:31:33.233>
<6> <RG072GT> <19/01/2026 00:21:39.406>
<2> <RE307IL> <18/01/2026 23:39:50.600>
<5> <ZD114NJ> <19/01/2026 00:10:52.876>
<5> <WG578ZY> <19/01/2026 00:07:00.834>
<6> <WG578ZY> <19/01/2026 00:14:13.526>
<6> <GV127RA> <19/01/2026 00:17:58.998>
<4> <XO471ZZ> <19/01/2026 00:01:18.969>
<5> <XO471ZZ> <19/01/2026 00:08:18.847>
<4> <IZ723SO> <18/01/2026 23:58:03.975>
<2> <ZV143HF> <18/01/2026 23:39:29.944>
<1> <ZH208FQ> <18/01/2026 23:38:53.155>
<2> <ZH208FQ> <18/01/2026 23:51:08.222>
<3> <ZH208FQ> <19/01/2026 00:03:38.514>
<4> <ZH208FQ> <19/01/2026 00:12:09.152>
<1> <FR239IS> <18/01/2026 23:32:59.754>
<2> <FR239IS> <18/01/2026 23:40:02.472>
<3> <FR239IS> <18/01/2026 23:48:33.110>
<2> <BD670WL> <18/01/2026 23:37:57.161>
<3> <BD670WL> <18/01/2026 23:46:27.265>
<4> <BD670WL> <18/01/2026 23:55:17.865>
<0> <WO441UK> <18/01/2026 23:26:39.730>
<1> <WO441UK> <18/01/2026 23:36:44.971>
<2> <WO441UK> <18/01/2026 23:45:42.284>
<3> <WO441UK> <18/01/2026 23:54:39.598>
<4> <WO441UK> <19/01/2026 00:02:47.190>
<4> <DV712CH> <19/01/2026 00:00:45.933>
<5> <DV712CH> <19/01/2026 00:09:11.007>
<3> <QL551XB> <18/01/2026 23:44:48.518>
<4> <QL551XB> <18/01/2026 23:51:52.048>
<5> <QL551XB> <18/01/2026 23:59:52.401>
<6> <LB754GA> <19/01/2026 00:14:10.902>
<5> <QU978DI> <19/01/2026 00:11:02.918>
<2> <MW226QA> <18/01/2026 23:47:42.007>
<3> <MW226QA> <18/01/2026 23:57:33.707>
<4> <MW226QA> <19/01/2026 00:09:55.432>
<5> <MW226QA> <19/01/2026 00:20:09.881>
<6> <MW226QA> <19/01/2026 00:28:36.924>
<0> <EB607LR> <18/01/2026 23:25:38.799>
<1> <EB607LR> <18/01/2026 23:34:41.446>
<2> <EB607LR> <18/01/2026 23:42:08.037>
<3> <EB607LR> <18/01/2026 23:48:54.446>
<4> <EB607LR> <19/01/2026 00:02:14.446>
<5> <EB607LR> <19/01/2026 00:11:00.685>
<3> <CY651YQ> <19/01/2026 00:01:50.255>
<4> <CY651YQ> <19/01/2026 00:09:42.406>
<6> <FR843EH> <19/01/2026 00:16:50.060>
<0> <WG486TP> <18/01/2026 23:25:58.844>
<1> <WG486TP> <18/01/2026 23:34:39.768>
<2> <WG486TP> <18/01/2026 23:47:11.850>
<0> <LR758WF> <18/01/2026 23:26:30.321>
<1> <LR758WF> <18/01/2026 23:35:59.493>
<2> <LR758WF> <18/01/2026 23:46:06.350>
<3> <LR758WF> <18/01/2026 23:56:57.434>
<4> <LR758WF> <19/01/2026 00:03:51.227>
<5> <LR758WF> <19/01/2026 00:13:41.248>
<2> <RZ428EF> <18/01/2026 23:40:02.689>
<3> <RZ428EF> <18/01/2026 23:50:04.758>
<4> <RZ428EF> <18/01/2026 23:56:56.187>
<5> <RZ428EF> <19/01/2026 00:03:44.865>
<0> <SK093HM> <18/01/2026 23:26:19.319>
<1> <SK093HM> <18/01/2026 23:36:40.428>
<2> <SK093HM> <18/01/2026 23:48:25.790>
<3> <SK093HM> <18/01/2026 23:58:58.966>
<4> <SK093HM> <19/01/2026 00:08:51.228>
<5> <SK093HM> <19/01/2026 00:16:27.330>
<5> <KH087FV> <19/01/2026 00:18:17.371>
<5> <BF255TE> <19/01/2026 00:17:44.320>
<6> <BF255TE> <19/01/2026 00:26:41.634>
<6> <VK560AU> <19/01/2026 00:21:22.232>
<5> <TH834NV> <19/01/2026 00:06:58.712>
<1> <HN626GX> <18/01/2026 23:38:43.286>
<2> <HN626GX> <18/01/2026 23:52:07.588>
<3> <HN626GX> <18/01/2026 23:59:52.104>
<2> <BH314MD> <18/01/2026 23:42:54.030>
<3> <BH314MD> <18/01/2026 23:56:07.633>
<4> <BH314MD> <19/01/2026 00:04:17.429>
<5> <BH314MD> <19/01/2026 00:16:28.495>
<1> <TC073OW> <18/01/2026 23:35:43.533>
<2> <TC073OW> <18/01/2026 23:45:12.320>
<0> <QR571JJ> <18/01/2026 23:27:42.660>
<1> <QR571JJ> <18/01/2026 23:38:08.084>
<2> <QR571JJ> <18/01/2026 23:44:53.264>
<3> <QR571JJ> <18/01/2026 23:55:21.396>
<4> <QR571JJ> <19/01/2026 00:03:32.528>
<0> <IJ639PO> <18/01/2026 23:27:39.988>
<3> <NM093ZM> <18/01/2026 23:53:43.924>
<4> <JI357TH> <19/01/2026 00:00:38.741>
<1> <OR030IF> <18/01/2026 23:42:46.224>
<2> <OR030IF> <18/01/2026 23:52:13.724>
<3> <OR030IF> <19/01/2026 00:00:33.724>
<4> <OR030IF> <19/01/2026 00:09:21.679>
<5> <OR030IF> <19/01/2026 00:21:37.845>
<1> <QI711LW> <18/01/2026 23:37:03.307>
<2> <QI711LW> <18/01/2026 23:45:05.683>
<3> <QI711LW> <18/01/2026 23:53:45.135>
<4> <QI711LW> <19/01/2026 00:02:27.179>
<2> <WW866KZ> <18/01/2026 23:42:53.197>
<3> <WW866KZ> <18/01/2026 23:53:35.283>
<2> <GJ236WZ> <18/01/2026 23:42:54.003>
<3> <GJ236WZ> <18/01/2026 23:51:58.147>
<1> <UX167ME> <18/01/2026 23:37:04.376>
<2> <UX167ME> <18/01/2026 23:43:53.238>
<4> <FO507QT> <19/01/2026 00:05:59.387>
<5> <FO507QT> <19/01/2026 00:16:07.114>
<3> <VU540SJ> <18/01/2026 23:50:20.820>
<4> <VU540SJ> <18/01/2026 23:59:49.368>
<6> <YR087CN> <19/01/2026 00:19:30.505>
<4> <GI569WO> <18/01/2026 23:57:18.751>
<2> <RX990EC> <18/01/2026 23:44:55.984>
<3> <RX990EC> <18/01/2026 23:52:02.004>
<2> <DQ853VS> <18/01/2026 23:43:16.242>
<1> <CB487YN> <18/01/2026 23:35:13.481>
<1> <SD366AI> <18/01/2026 23:37:54.134>
<2> <SD366AI> <18/01/2026 23:45:08.150>
<5> <EF250BJ> <19/01/2026 00:11:23.645>
<3> <PG093JH> <18/01/2026 23:54:21.423>
<4> <PG093JH> <19/01/2026 00:02:43.934>
<5> <PG093JH> <19/01/2026 00:10:47.155>
<6> <PG093JH> <19/01/2026 00:21:47.401>
<3> <HV030EH> <18/01/2026 23:52:30.761>
<4> <HV030EH> <19/01/2026 00:01:01.399>
<3> <RN762MM> <19/01/2026 00:04:19.069>
<4> <RN762MM> <19/01/2026 00:11:30.132>
<5> <RN762MM> <19/01/2026 00:20:19.544>
<3> <KQ646VK> <18/01/2026 23:58:16.707>
<4> <KQ646VK> <19/01/2026 00:05:28.540>
<5> <KQ646VK> <19/01/2026 00:14:13.733>
<1> <CQ168XN> <18/01/2026 23:41:18.464>
<2> <CQ168XN> <18/01/2026 23:50:02.079>
<3> <AW755XA> <18/01/2026 23:53:48.037>
<4> <AW755XA> <19/01/2026 00:02:21.908>
<5> <AW755XA> <19/01/2026 00:11:47.488>
<2> <OL001CK> <18/01/2026 23:47:26.333>
<6> <FE220QT> <19/01/2026 00:31:36.506>
<1> <II586SV> <18/01/2026 23:39:11.010>
<2> <II586SV> <18/01/2026 23:51:42.649>
<3> <II586SV> <18/01/2026 23:58:37.360>
<6> <SD234GV> <19/01/2026 00:27:35.141>
<6> <HW156LM> <19/01/2026 00:16:29.200>
<6> <LN833GM> <19/01/2026 00:26:25.770>
<1> <VX919FJ> <18/01/2026 23:38:47.473>
<2> <VX919FJ> <18/01/2026 23:45:57.000>
<3> <VX919FJ> <18/01/2026 23:55:41.944>
<4> <VX919FJ> <19/01/2026 00:05:01.246>
<6> <NJ495YD> <19/01/2026 00:31:44.315>
<4> <PF898UV> <19/01/2026 00:03:59.502>
<5> <PF898UV> <19/01/2026 00:11:41.041>
<6> <PF898UV> <19/01/2026 00:20:45.771>
<1> <HH252CP> <18/01/2026 23:37:10.450>
<2> <HH252CP> <18/01/2026 23:45:53.286>
<3> <HH252CP> <18/01/2026 23:54:44.655>
<4> <HH252CP> <19/01/2026 00:02:29.269>
<1> <OZ797AM> <18/01/2026 23:36:43.251>
<0> <BD035ZJ> <18/01/2026 23:30:42.144>
<1> <BD035ZJ> <18/01/2026 23:39:23.131>
<2> <BD035ZJ> <18/01/2026 23:45:58.543>
<3> <BD035ZJ> <18/01/2026 23:52:17.490>
<4> <BD035ZJ> <19/01/2026 00:04:17.092>
<5> <BD035ZJ> <19/01/2026 00:14:53.185>
<4> <TQ973FN> <19/01/2026 00:06:29.104>
<5> <TQ973FN> <19/01/2026 00:15:45.558>
<4> <GI360CL> <19/01/2026 00:09:20.789>
<5> <GI360CL> <19/01/2026 00:17:54.462>
<2> <YA711HH> <18/01/2026 23:53:57.619>
<3> <YA711HH> <19/01/2026 00:03:42.153>
<0> <BN659JV> <18/01/2026 23:31:00.578>
<0> <LC802NC> <18/01/2026 23:30:49.791>
<1> <LC802NC> <18/01/2026 23:37:53.929>
<2> <IZ098NS> <18/01/2026 23:48:50.002>
<3> <IZ098NS> <18/01/2026 23:58:21.000>
<4> <IZ098NS> <19/01/2026 00:05:05.494>
<5> <IZ098NS> <19/01/2026 00:11:49.989>
<6> <IZ098NS> <19/01/2026 00:19:03.932>
<5> <YD322CZ> <19/01/2026 00:15:59.296>
<6> <YD322CZ> <19/01/2026 00:25:07.165>
<5> <BV079FW> <19/01/2026 00:24:41.100>
<2> <MN264NH> <18/01/2026 23:43:57.632>
<3> <MN264NH> <18/01/2026 23:50:22.659>
<1> <KH249YF> <18/01/2026 23:46:07.443>
<2> <KH249YF> <18/01/2026 23:54:08.081>
<3> <KH249YF> <19/01/2026 00:02:07.018>
<4> <KH249YF> <19/01/2026 00:10:13.719>
<5> <KH249YF> <19/01/2026 00:17:58.235>
<5> <RO462AC> <19/01/2026 00:28:23.999>
<1> <MY799JI> <18/01/2026 23:41:13.358>
<5> <NX753WO> <19/01/2026 00:19:25.268>
<5> <HE739VH> <19/01/2026 00:22:07.747>
<2> <CW706OE> <18/01/2026 23:50:51.277>
<3> <CW706OE> <19/01/2026 00:03:59.118>
<1> <MB776PW> <18/01/2026 23:41:02.274>
<2> <MB776PW> <18/01/2026 23:50:42.839>
<3> <MB776PW> <19/01/2026 00:00:10.660>
<4> <MB776PW> <19/01/2026 00:09:25.606>
<5> <MB776PW> <19/01/2026 00:17:42.158>
<1> <GQ008KW> <18/01/2026 23:40:00.747>
<2> <GQ008KW> <18/01/2026 23:48:17.299>
<3> <GQ008KW> <18/01/2026 23:56:33.851>
<3> <IG397FY> <19/01/2026 00:00:07.952>
<4> <IG397FY> <19/01/2026 00:08:47.464>
<3> <VU919FH> <18/01/2026 23:55:59.559>
<1> <BM038CJ> <18/01/2026 23:39:42.245>
<2> <BM038CJ> <18/01/2026 23:51:15.191>
<3> <BM038CJ> <19/01/2026 00:03:45.191>
<3> <ZL296KH> <18/01/2026 23:55:06.526>
<4> <ZL296KH> <19/01/2026 00:03:09.748>
<5> <ZL296KH> <19/01/2026 00:15:50.928>
<3> <TM828HP> <19/01/2026 00:01:47.318>
<2> <TQ731TM> <18/01/2026 23:46:51.345>
<2> <DC596XG> <18/01/2026 23:48:44.033>
<3> <DC596XG> <18/01/2026 23:57:15.490>
<6> <ZF377HP> <19/01/2026 00:27:03.720>
<4> <CV097TM> <19/01/2026 00:11:18.045>
<1> <FK482PC> <18/01/2026 23:41:53.683>
<1> <RI216RB> <18/01/2026 23:43:04.995>
<2> <RI216RB> <18/01/2026 23:52:40.406>
<3> <RI216RB> <19/01/2026 00:00:32.299>
<4> <RI216RB> <19/01/2026 00:10:22.463>
<1> <MW945SN> <18/01/2026 23:40:59.984>
<2> <MW945SN> <18/01/2026 23:48:43.598>
<1> <ZI105RW> <18/01/2026 23:46:19.453>
<2> <ZI105RW> <18/01/2026 23:57:01.310>
<3> <ZI105RW> <19/01/2026 00:05:58.253>
<4> <ZI105RW> <19/01/2026 00:14:49.239>
<1> <IH346OX> <18/01/2026 23:40:23.044>
<2> <IH346OX> <18/01/2026 23:49:52.131>
<3> <IH346OX> <19/01/2026 00:01:07.660>
<4> <IH346OX> <19/01/2026 00:07:32.687>
<0> <VH186ET> <18/01/2026 23:34:12.735>
<1> <VH186ET> <18/01/2026 23:44:08.271>
<0> <EO239OJ> <18/01/2026 23:34:40.524>
<1> <EO239OJ> <18/01/2026 23:44:13.020>
<2> <EO239OJ> <18/01/2026 23:54:14.147>
<3> <EO239OJ> <19/01/2026 00:02:16.795>
<3> <UF696BK> <19/01/2026 00:14:36.542>
<5> <LI879AK> <19/01/2026 00:22:11.570>
<1> <KV480XJ> <18/01/2026 23:43:26.674>
<2> <KV480XJ> <18/01/2026 23:53:58.460>
<3> <KV480XJ> <19/01/2026 00:03:43.906>
<4> <KV480XJ> <19/01/2026 00:14:12.605>
<5> <KV480XJ> <19/01/2026 00:21:39.810>
<4> <RI966VU> <19/01/2026 00:07:43.716>
<5> <RI966VU> <19/01/2026 00:19:41.516>
<1> <BV225AM> <18/01/2026 23:44:07.763>
<2> <BV225AM> <18/01/2026 23:53:18.540>
<3> <BV225AM> <19/01/2026 00:00:59.406>
<4> <BV225AM> <19/01/2026 00:08:10.543>
<5> <BV225AM> <19/01/2026 00:15:00.006>
<4> <DR012DT> <19/01/2026 00:05:44.123>
<5> <RW305WC> <19/01/2026 00:13:10.754>
